texto,label
"Puta madre me dolió mucho el golpe en el pie. Qué dolor de cabeza, puta madre.",0
Esa basura es una completa incompetente y hay que quemar todo.,1
"Esa basura debería desaparecer, arruina la comunidad y lárgate de esta plataforma.",1
"Los trabajadores debería desaparecer, arruina la comunidad y eres un peligro social.",1
Hola buenos días gracias por el gran aporte al canal.,0
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
Gente ignorante no es más que una cabrón y eres un peligro social.,1
Excelente participación de los alumnos en la conferencia de tecnología.,0
"El streamer debería desaparecer, arruina la comunidad y ojalá te pase algo malo.",1
Los trabajadores insulta a todos como inepto y hay que lincharlo entre todos.,1
El político roba y es una sinvergüenza y debería desaparecer ya.,1
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Excelente video amigo muchas gracias por compartir la información.,0
Ese sinvergüenza insulta a todos como mediocre y nadie le cree nada.,1
Hola qué buen contenido me suscribo de inmediato saludos.,0
"El procesamiento de lenguaje natural requiere un análisis estadístico profundo. Qué dolor de cabeza, puta madre.",0
El streamer insulta a todos como idiota y hay que quemar todo.,1
Quien es este tipo ratero singuenza mugroso tipo resentido ignorante y manoso.,1
"Este tipo debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Este ratero roba y es una inepto y deberían banearlo ya.,1
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
Hola qué buen contenido me suscribo de inmediato saludos.,0
ESA BASURA ROBA Y ES UNA PLAGA Y OJALÁ TE PASE ALGO MALO.,1
Hola qué buen contenido me suscribo de inmediato saludos.,0
"No mames, está cabrón el tráfico de hoy en la avenida principal.",0
Hola buenos días gracias por el gran aporte al canal.,0
Muchas gracias por mantenernos informados todos los días.,0
"Este delincuente debería estar en la cárcel, escoria social.",1
Usurero ay que quemar Elektra no comprar nada.,1
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
Excelente video amigo muchas gracias por compartir la información.,0
Excelente video amigo muchas gracias por compartir la información.,0
Muchas gracias por compartir el enlace con la documentación de la API.,0
"Está cabrón terminar este proyecto final para el lunes. Qué dolor de cabeza, puta madre.",0
Qué buena peda nos pusimos ayer estuvo chingón.,0
"Este ratero debería desaparecer, arruina la comunidad y ojalá te pase algo malo.",1
Hola qué buen contenido me suscribo de inmediato saludos.,0
"Puta madre me dolió mucho el golpe en el pie. Qué dolor de cabeza, puta madre.",0
Muchas gracias por compartir el enlace con la documentación de la API.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Ese mentiroso demuestra ser una ignorante y eres un peligro social.,1
"Ese mentiroso debería desaparecer, arruina la comunidad y eres un peligro social.",1
